,,,,,,,,,,,,,,,,,,,,,
Player ID:,700561,,,,,,,,,,,,,,,,,,,,
Player Name:,Austin Steinfort,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number
59,Tue Apr 19 2022 8:45:28 PM,1650401128,Fastball,N,11.38,46.74,90.58,2344.8,2317.2,98.8,0:38,0.9,19.6,6.8,-1.05,-0.97,5.95,1.13,8.81,700561@1650401128,RBB21YIQQ31R
60,Tue Apr 19 2022 8:45:56 PM,1650401156,CurveBall,N,-15.30,25.91,71.54,2388.3,1891.3,79.2,6:40,1,-17.3,-7.5,-1.81,1.87,6.07,1.01,37.63,700561@1650401156,RBB21YIQQ31R
61,Tue Apr 19 2022 8:46:21 PM,1650401181,Splitter,N,13.04,6.54,82.55,1157.4,1092.8,94.4,1:26,0.9,10.9,10.2,-1.05,-4.17,5.95,1.38,-19.23,700561@1650401181,RBB21YIQQ31R
62,Tue Apr 19 2022 8:46:47 PM,1650401207,Fastball,Y,-0.04,36.00,90.57,2344.7,2301.2,98.1,0:40,0.9,19.4,7.3,-2.34,-2.33,5.94,1.26,11.06,700561@1650401207,RBB21YIQQ31R
63,Tue Apr 19 2022 8:47:10 PM,1650401230,Splitter,Y,0.60,28.53,80.84,665.1,644.2,96.9,1:56,0.9,5.6,8.9,-2.22,-0.41,5.83,1.31,14.38,700561@1650401230,RBB21YIQQ31R
64,Tue Apr 19 2022 8:48:18 PM,1650401298,Cutter,Y,4.44,22.38,85.96,2366.6,1379.3,58.3,0:30,0.9,12.1,3.0,-1.24,-2.03,5.89,1.40,54.35,700561@1650401298,RBB21YIQQ31R
65,Tue Apr 19 2022 8:48:55 PM,1650401335,Fastball,Y,5.89,24.14,92.04,2437.9,2377,97.5,0:56,0.9,18.4,9.9,-1.48,-3.92,6.13,1.01,12.84,700561@1650401335,RBB21YIQQ31R
66,Tue Apr 19 2022 8:49:30 PM,1650401370,CurveBall,N,19.27,48.36,70.02,2307.1,2148,93.1,6:20,0.9,-21.1,-4.8,1.39,4.07,5.90,0.81,21.41,700561@1650401370,RBB21YIQQ31R
67,Tue Apr 19 2022 8:49:58 PM,1650401398,Fastball,N,10.43,38.43,91.71,2355,2318.6,98.5,1:2,1,17.5,10.8,-1.28,-2.10,6.06,1.18,10.09,700561@1650401398,RBB21YIQQ31R
68,Tue Apr 19 2022 8:50:19 PM,1650401419,CurveBall,Y,5.62,41.22,70.82,2229.2,1881.7,84.4,6:8,0.9,-19.2,-2.4,0.17,3.15,5.99,0.89,32.42,700561@1650401419,RBB21YIQQ31R
69,Tue Apr 19 2022 8:50:41 PM,1650401441,Cutter,Y,-0.34,37.40,85.09,2399.8,923.9,38.5,0:30,0.9,8.3,1.6,-1.75,-1.05,6.04,1.03,67.36,700561@1650401441,RBB21YIQQ31R
70,Tue Apr 19 2022 8:52:29 PM,1650401549,CurveBall,N,11.24,31.02,69.17,2170,1085.1,50,6:52,0.8,-10.2,-6.4,-0.42,2.09,5.43,1.33,60.00,700561@1650401549,RBB21YIQQ31R
