,last_name_x,last_name_y, first_name_x,player_id,pitch_hand,pitch_type,pitch_name_x,pitch_name_y,pitches,n_pitches,pitch_usage,release_speed,spin_rate,movement_inches,spin_eff%,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,diff_measured_inferred,diff2,run_value_per_100,run_value,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label,team_name_alt,bauer_units
516,Mills,Mills, Alec,621219,R,CH,Changeup,Changeup,326,322,16.8,79.1,1745,15.9,86,0.8034350346528151,0.8579512197578715,120.08942451296215,99.22649360579204,20.862930907170124,20.86293090717012,2.5,8,93,0.256,0.349,0.316,36.1,25.8,20.2,0.225,0.312,0.268,32.3,-45,2,0,2,45,0,45,2:00,2:45,-0H 45M,CHC,22.060682680151707
517,Mills,Mills, Alec,621219,R,SL,Slider,Slider,244,241,12.6,76.6,2530,18.4,58,0.7745001866620832,0.5790247938970823,310.2602768972906,289.0928309333231,21.16744596396751,21.167445963967506,0.7,2,63,0.203,0.22,0.202,29.9,39.7,19.8,0.209,0.255,0.217,22.2,-30,7,45,8,15,0,30,7:45,8:15,-0H 30M,CHC,33.02872062663186
518,Minaya,Minaya, Juan,573668,R,CH,Changeup,Changeup,296,240,44.9,88.8,1578,13.2,84,0.736462819273881,0.8441643880259945,114.71507931335265,82.0563611183262,32.65871819502644,32.658718195026424,-2.4,-7,77,0.125,0.222,0.219,31.4,26.0,18.5,0.18,0.276,0.23,38.5,-60,2,15,3,15,1,0,2:15,3:15,-1H 00M,MIN,17.77027027027027
519,Minaya,Minaya, Juan,573668,R,FF,4-Seamer,4-Seam Fastball,339,336,51.4,95.2,2236,17.5,91,0.8513137142080478,0.910336960190292,132.26390491537302,139.62625723808424,-7.362352322711217,7.362352322711228,0.2,1,83,0.25,0.438,0.378,19.9,25.3,25.6,0.2,0.381,0.339,44.4,15,1,30,1,15,0,15,1:30,1:15,+0H 15M,MIN,23.48739495798319
520,Minor,Minor, Mike,501985,L,FF,4-Seamer,4-Seam Fastball,1123,1110,42.8,90.9,2544,14.2,69,0.637094330481018,0.6878571997450779,204.45351820140644,187.20282873763105,17.250689463775416,17.2506894637754,-0.3,-3,278,0.246,0.472,0.342,18.9,22.3,20.5,0.224,0.447,0.316,36.3,-30,11,15,11,45,0,30,11:15,11:45,-0H 30M,KC,27.986798679867984
521,Minor,Minor, Mike,501985,L,CH,Changeup,Changeup,514,512,19.6,85.2,2237,20.5,97,0.9439028202585862,0.967222459931733,228.29077755513435,239.42704878188815,-11.13627122675382,11.136271226753806,1.4,7,146,0.257,0.4,0.301,30.7,17.1,15.1,0.258,0.405,0.297,24.1,30,10,30,10,0,0,30,10:30,10:00,+0H 30M,KC,26.255868544600936
522,Minor,Minor, Mike,501985,L,SL,Slider,Slider,573,564,21.9,85.6,2727,6.2,27,0.2622930966462946,0.265920866058401,129.04422555354537,94.58188515744769,34.46234039609766,34.46234039609765,0.9,5,156,0.255,0.511,0.37,25.9,19.2,20.4,0.293,0.583,0.4,44.1,-60,1,45,2,45,1,0,1:45,2:45,-1H 00M,KC,31.857476635514022
523,Minter,Minter, A.J.,621345,L,FF,4-Seamer,4-Seam Fastball,372,363,42.5,96.1,2355,17.4,88,0.8393362036784933,0.884166009767034,212.52294791916017,201.86579517377007,10.65715274539005,10.657152745390048,0.3,1,75,0.242,0.371,0.329,30.3,30.7,20.7,0.233,0.316,0.309,37.5,-15,11,0,11,15,0,15,11:00,11:15,-0H 15M,ATL,24.505723204994798
524,Minter,Minter, A.J.,621345,L,FC,Cutter,Cutter,387,383,44.2,89.0,2542,6.5,29,0.2912945916057958,0.2884586903569047,152.68356048425358,115.79474179650968,36.88881868774389,36.88881868774389,-1.8,-7,112,0.182,0.303,0.262,31.9,25.9,25.0,0.186,0.315,0.252,32.9,-75,1,0,2,15,1,15,1:00,2:15,-1H 15M,ATL,28.56179775280899
525,Misiewicz,Misiewicz, Anthony,664948,L,FC,Cutter,Cutter,297,297,33.2,88.7,2443,7.2,36,0.317738616903225,0.3638877683939565,163.08345786618906,170.21379770267956,-7.130339836490492,7.130339836490492,1.2,4,76,0.338,0.529,0.416,21.3,7.9,8.2,0.334,0.522,0.392,44.4,15,12,30,12,15,0,15,12:30,12:15,+0H 15M,SEA,27.54227733934611
526,Misiewicz,Misiewicz, Anthony,664948,L,FF,4-Seamer,4-Seam Fastball,316,310,35.3,94.3,2218,17.9,93,0.8461426643799508,0.929628712251086,208.7005845363149,210.281495146222,-1.5809106099071355,1.5809106099070973,-1.0,-3,88,0.286,0.405,0.318,25.6,29.5,23.9,0.235,0.411,0.292,50.0,0,11,0,11,0,0,0,11:00,11:00, 0H 00M,SEA,23.52067868504772
527,Mize,Mize, Casey,663554,R,FS,Splitter,Splitter,312,267,13.2,85.9,1096,12.9,90,0.8576022348197668,0.8953377980723822,109.39923149207527,87.00053771140138,22.39869378067389,22.398693780673906,-0.9,-3,70,0.203,0.304,0.226,21.9,17.1,10.8,0.264,0.419,0.301,31.6,-45,2,15,3,0,0,45,2:15,3:00,-0H 45M,DET,12.759022118742724
528,Mize,Mize, Casey,663554,R,FF,4-Seamer,4-Seam Fastball,685,682,29.1,93.9,2151,17.9,92,0.8710847793932436,0.9231355551307956,140.0892607886832,147.73848046393965,-7.649219675256461,7.649219675256437,-0.5,-4,152,0.224,0.455,0.332,25.3,30.3,17.9,0.223,0.465,0.332,47.2,15,1,15,1,0,0,15,1:15,1:00,+0H 15M,DET,22.9073482428115
529,Mize,Mize, Casey,663554,R,SL,Slider,Slider,660,658,28.0,85.9,2241,4.8,29,0.222432951624761,0.2859207816387988,235.6480295305084,259.6976078142717,-24.04957828376331,24.049578283763275,-1.6,-10,184,0.195,0.337,0.263,28.2,21.7,19.3,0.217,0.404,0.294,36.6,60,10,15,9,15,1,0,10:15,9:15,+1H 00M,DET,26.08847497089639
530,Montas,Montas, Frankie,593423,R,SL,Slider,Slider,587,586,19.4,88.9,2467,7.6,34,0.3348932754145527,0.34306925451654,221.43678029390435,234.71005099782388,-13.273270703919536,13.273270703919511,0.6,4,134,0.274,0.427,0.335,31.5,18.7,15.2,0.288,0.479,0.349,46.5,15,10,30,10,15,0,15,10:30,10:15,+0H 15M,OAK,27.750281214848144
531,Montas,Montas, Frankie,593423,R,FS,Splitter,Splitter,678,658,22.4,87.5,1598,12.5,78,0.6676026964255534,0.7835334409085039,134.33509684356454,101.5544272428435,32.78066960072104,32.78066960072104,-1.4,-10,179,0.126,0.168,0.176,51.4,51.4,26.4,0.135,0.192,0.182,21.3,-60,1,30,2,30,1,0,1:30,2:30,-1H 00M,OAK,18.262857142857143
532,Montas,Montas, Frankie,593423,R,FF,4-Seamer,4-Seam Fastball,878,876,29.0,96.4,2398,18.5,90,0.8514394922277161,0.9028149025902388,155.16293065776594,156.95874642196435,-1.7958157641984087,1.795815764198418,-0.5,-5,229,0.214,0.405,0.299,24.6,27.9,20.0,0.245,0.47,0.331,50.3,0,12,45,12,45,0,0,12:45,12:45, 0H 00M,OAK,24.875518672199167
533,Montero,Montero, Rafael,606160,R,FF,4-Seamer,4-Seam Fastball,311,305,35.7,95.7,2268,16.6,87,0.7775997890868022,0.8674298447613136,140.481880033574,145.41417234844823,-4.932292314874246,4.932292314874251,2.0,6,75,0.27,0.429,0.355,26.9,22.7,15.3,0.212,0.344,0.303,31.9,0,1,15,1,15,0,0,1:15,1:15, 0H 00M,HOU,23.699059561128525
534,Montgomery,Montgomery, Jordan,656756,L,FC,Cutter,Cutter,355,354,13.8,87.3,2361,8.0,46,0.3573134999828663,0.4620415627762416,195.7266694415851,173.67410838285596,22.05256105872914,22.05256105872915,1.6,6,74,0.333,0.536,0.382,20.3,14.9,20.0,0.279,0.456,0.327,35.0,-45,11,30,12,15,0,45,11:30,12:15,-0H 45M,NYY,27.0446735395189
535,Montgomery,Montgomery, Jordan,656756,L,FF,4-Seamer,4-Seam Fastball,417,416,16.2,92.6,2284,17.8,88,0.8248535807050191,0.8796022681670641,213.212682755074,205.7389262717253,7.473756483348666,7.473756483348676,-0.2,-1,84,0.247,0.455,0.331,19.0,25.0,13.1,0.253,0.461,0.335,50.0,-15,11,0,11,15,0,15,11:00,11:15,-0H 15M,NYY,24.665226781857452
536,Montgomery,Montgomery, Jordan,656756,L,CH,Changeup,Changeup,626,626,24.4,82.5,1704,17.0,99,0.8576602724881204,0.9930351604164768,227.33513387231096,216.68670259879943,10.648431273511504,10.648431273511475,-1.5,-10,185,0.187,0.304,0.236,39.2,26.5,22.8,0.224,0.382,0.284,27.2,-15,10,30,10,45,0,15,10:30,10:45,-0H 15M,NYY,20.654545454545456
