last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Robles, Hansel,570663,BOS,FF,4-Seamer,0.5,3,654,55.2,167,0.243,0.45,0.362,22.4,26.3,19.2,0.238,0.458,0.357,59.8
Peralta, Freddy,642547,MIL,SL,Slider,-0.7,-5,621,26.4,167,0.158,0.289,0.236,43.1,38.9,28.5,0.163,0.24,0.216,22.7
Paddack, Chris,663978,SD,CH,Changeup,0.9,4,490,26.2,167,0.234,0.399,0.308,28.2,20.4,17.8,0.253,0.437,0.315,36.5
Flaherty, Jack,656427,STL,FF,4-Seamer,-0.8,-5,684,50.6,166,0.193,0.379,0.307,17.1,22.9,17.3,0.26,0.485,0.357,44.5
Garcia, Luis,677651,HOU,FC,Cutter,-2,-11,565,22.6,166,0.175,0.319,0.223,42,39.2,29,0.191,0.316,0.231,29.2
Valdez, César,491624,BAL,CH,Changeup,1.4,8,567,74.9,165,0.31,0.487,0.359,30.5,24.2,22.2,0.293,0.455,0.333,42
Weathers, Ryan,677960,SD,FF,4-Seamer,1.3,9,696,43,165,0.34,0.641,0.438,17.8,18.2,16.9,0.298,0.553,0.38,50.4
Sewald, Paul,623149,SEA,FF,4-Seamer,-2.1,-13,644,58.3,165,0.18,0.32,0.262,33,38.8,28.3,0.184,0.351,0.269,40.7
Whitlock, Garrett,676477,BOS,SIFT,Sinker,-1.7,-11,614,53.4,164,0.291,0.417,0.33,21.8,18.9,18.1,0.265,0.38,0.302,41
Smith, Riley,642092,ARI,SIFT,Sinker,0.5,3,614,57.3,164,0.313,0.507,0.398,11.5,11.6,11.4,0.296,0.476,0.362,47.3
Nola, Aaron,605400,PHI,CH,Changeup,1,6,589,19.8,164,0.24,0.364,0.315,32.4,26.2,20.7,0.235,0.337,0.275,36.9
Richards, Garrett,572070,BOS,SL,Slider,1,6,638,27.4,163,0.282,0.47,0.35,26.6,23.9,16.7,0.253,0.414,0.314,44.6
Weaver, Luke,596133,ARI,FF,4-Seamer,-0.5,-3,687,61.9,163,0.224,0.448,0.328,20.4,19.6,15.6,0.256,0.492,0.358,40.9
Stratton, Chris,608717,PIT,FF,4-Seamer,-1.1,-7,665,48.4,163,0.245,0.392,0.32,21.9,23.3,17.8,0.234,0.428,0.327,42.5
Urías, Julio,628711,LAD,CH,Changeup,-1.8,-9,483,17.3,163,0.194,0.245,0.225,28.6,22.1,18.8,0.217,0.278,0.24,26.9
Pérez, Martín,527048,BOS,SIFT,Sinker,-0.9,-4,469,25.2,163,0.253,0.377,0.32,8.5,19.6,24.6,0.259,0.385,0.319,36.5
Heuer, Codi,676051,CHC,FF,4-Seamer,0.6,4,589,56.1,163,0.336,0.566,0.415,13,6.7,9.4,0.324,0.526,0.389,45.3
Foltynewicz, Mike,592314,TEX,FF,4-Seamer,0.5,4,657,29.4,163,0.287,0.62,0.396,11.2,9.2,8.6,0.321,0.649,0.427,52.6
Montgomery, Jordan,656756,NYY,CUKC,Curveball,-1.5,-9,608,23.7,162,0.191,0.263,0.22,42.9,43.8,26.1,0.177,0.275,0.217,33.7
Loáisiga, Jonathan,642528,NYY,SIFT,Sinker,-2.3,-14,596,54.9,162,0.252,0.286,0.285,17.5,16,17,0.215,0.274,0.255,28.2
Stroman, Marcus,573186,NYM,SL,Slider,-1,-6,624,22.8,162,0.184,0.309,0.244,37,32.1,22.2,0.207,0.357,0.265,42.2
Cueto, Johnny,456501,SF,FF,4-Seamer,-1.4,-10,677,36,162,0.219,0.342,0.282,28.1,32.1,18.1,0.214,0.387,0.296,43.2
Alzolay, Adbert,640470,CHC,SIFT,Sinker,0.8,4,528,27,161,0.31,0.538,0.39,10.8,13,21.4,0.301,0.542,0.386,44.1
Jackson, Luke,592426,ATL,SL,Slider,-3,-17,562,53.3,161,0.159,0.241,0.233,35.1,31.7,22.7,0.192,0.287,0.251,29.5
Cortes, Nestor,641482,NYY,FF,4-Seamer,-1.8,-12,652,42.8,161,0.196,0.365,0.289,23.2,34.2,25.3,0.19,0.355,0.266,42.6
Castillo, Diego,650895,SEA,SL,Slider,-2.4,-15,622,66.5,161,0.13,0.233,0.202,40.1,40.4,27.2,0.155,0.231,0.206,28.2
Romo, Sergio,489265,OAK,SL,Slider,-0.3,-2,581,55.7,161,0.219,0.418,0.309,32.1,28,22,0.223,0.4,0.305,23.8
Cobb, Alex,502171,LAA,FS,Splitter,0.2,1,583,36.9,160,0.226,0.308,0.281,35.2,25,18.3,0.232,0.347,0.289,35.8
Castillo, Luis,622491,CIN,FF,4-Seamer,0.5,4,901,28.5,160,0.257,0.478,0.364,30.3,31.3,20.9,0.205,0.36,0.296,34.1
Mahle, Tyler,641816,CIN,FS,Splitter,-0.9,-4,505,15.8,160,0.197,0.27,0.234,32.1,23.8,19.7,0.214,0.287,0.246,28.1
May, Trevor,543507,NYM,FF,4-Seamer,-1.4,-10,673,60.3,160,0.217,0.371,0.298,33.2,38.8,25.6,0.179,0.354,0.274,42
Melancon, Mark,453343,SD,FC,Cutter,-0.9,-6,660,62.7,160,0.25,0.379,0.334,14.8,15.6,14.7,0.282,0.43,0.355,37.9
Darvish, Yu,506433,SD,SL,Slider,-1.4,-9,629,22.7,159,0.18,0.327,0.24,21.9,29.6,21.1,0.207,0.379,0.269,26.9
Plesac, Zach,668676,CLE,SL,Slider,-1.4,-7,509,23.1,159,0.191,0.303,0.233,31.5,23.9,21,0.196,0.302,0.236,34.2
