,player_name,p_throws,pitch_type,FF_count,SI_count,FC_count,velo,pfx_x,pfx_z,arm_angle,release_extension,RV,RV/100,xRV,xRV/100,CU_count,SL_count,KC_count,CH_count,FS_count
110,"Bradley, Archie",R,SI,0.0,218.0,0.0,94.0,10.23,15.38,34.6,6.61,1.387,0.64,6.582,3.02,0.0,0.0,0.0,0.0,0.0
111,"Brasier, Ryan",R,FF,135.0,0.0,0.0,95.1,6.28,15.76,32.2,6.81,4.45,3.3,4.7700000000000005,3.53,0.0,0.0,0.0,0.0,0.0
112,"Brebbia, John",R,FF,158.0,0.0,0.0,92.9,10.04,17.37,34.8,6.76,0.7589999999999995,0.48000000000000004,4.063,2.57,0.0,0.0,0.0,0.0,0.0
113,"Brennan, Brandon",R,FF,7.0,0.0,0.0,92.8,16.26,6.77,34.18,5.48,-0.436,-6.23,0.051000000000000004,0.73,0.0,0.0,0.0,0.0,0.0
114,"Brennan, Brandon",R,SI,0.0,19.0,0.0,92.8,16.26,6.77,34.18,5.48,2.666,14.03,2.9979999999999998,15.78,0.0,0.0,0.0,0.0,0.0
115,"Brewer, Colten",R,FC,0.0,0.0,17.0,93.9,-1.69,10.14,36.6,6.19,4.209,24.76,2.785,16.38,0.0,0.0,0.0,0.0,0.0
116,"Brice, Austin",R,FF,121.0,0.0,0.0,92.6,17.93,4.61,45.55,5.46,2.8440000000000003,2.35,7.267,6.01,0.0,0.0,0.0,0.0,0.0
117,"Brice, Austin",R,SI,0.0,39.0,0.0,92.6,17.93,4.61,45.55,5.46,5.612,14.39,6.688,17.15,0.0,0.0,0.0,0.0,0.0
118,"Brogdon, Connor",R,FC,0.0,0.0,177.0,93.8,7.07,15.5,40.95,7.02,2.942,1.66,6.434,3.6399999999999997,0.0,0.0,0.0,0.0,0.0
119,"Brogdon, Connor",R,FF,414.0,0.0,0.0,93.8,7.07,15.5,40.95,7.02,14.793,3.57,9.193999999999999,2.22,0.0,0.0,0.0,0.0,0.0
120,"Brogdon, Connor",R,SI,0.0,3.0,0.0,93.8,7.07,15.5,40.95,7.02,-0.19,-6.33,0.012999999999999998,0.43,0.0,0.0,0.0,0.0,0.0
121,"Brubaker, JT",R,FF,475.0,0.0,0.0,93.1,12.21,13.38,38.2,5.88,13.873,2.92,18.674,3.93,0.0,0.0,0.0,0.0,0.0
122,"Brubaker, JT",R,SI,0.0,478.0,0.0,93.1,12.21,13.38,38.2,5.88,35.25,7.369999999999999,40.918,8.56,0.0,0.0,0.0,0.0,0.0
123,"Buehler, Walker",R,FC,0.0,0.0,514.0,94.4,2.01,15.19,19.42,6.37,19.494,3.79,19.367,3.77,0.0,0.0,0.0,0.0,0.0
124,"Buehler, Walker",R,FF,1400.0,0.0,0.0,94.4,2.01,15.19,19.42,6.37,25.866,1.85,43.303,3.09,0.0,0.0,0.0,0.0,0.0
125,"Buehler, Walker",R,SI,0.0,234.0,0.0,94.4,2.01,15.19,19.42,6.37,11.366,4.86,13.414,5.73,0.0,0.0,0.0,0.0,0.0
126,"Bukauskas, J.B.",R,FF,135.0,0.0,0.0,94.5,12.31,11.34,32.7,5.45,16.544,12.25,14.911,11.05,0.0,0.0,0.0,0.0,0.0
127,"Bundy, Dylan",R,FF,518.0,0.0,0.0,90.7,7.59,18.45,33.67,5.95,28.276,5.46,37.284,7.2,0.0,0.0,0.0,0.0,0.0
128,"Bundy, Dylan",R,SI,0.0,260.0,0.0,90.7,7.59,18.45,33.67,5.95,24.551,9.44,22.916,8.81,0.0,0.0,0.0,0.0,0.0
129,"Burdi, Zack",R,FF,91.0,0.0,0.0,95.8,7.27,14.7,27.6,6.2,11.816,12.98,8.756,9.62,0.0,0.0,0.0,0.0,0.0
130,"Burnes, Corbin",R,FC,0.0,0.0,1354.0,95.5,-1.62,11.37,17.8,6.39,37.77,2.79,61.428,4.54,0.0,0.0,0.0,0.0,0.0
131,"Burnes, Corbin",R,FF,40.0,0.0,0.0,95.5,-1.62,11.37,17.8,6.39,3.056,7.64,1.8349999999999997,4.59,0.0,0.0,0.0,0.0,0.0
132,"Burnes, Corbin",R,SI,0.0,236.0,0.0,95.5,-1.62,11.37,17.8,6.39,-1.3570000000000007,-0.58,4.128,1.75,0.0,0.0,0.0,0.0,0.0
133,"Burr, Ryan",R,FC,0.0,0.0,238.0,91.1,-1.33,8.16,22.54,6.69,-0.817,-0.34,3.6819999999999995,1.55,0.0,0.0,0.0,0.0,0.0
134,"Burr, Ryan",R,FF,298.0,0.0,0.0,91.1,-1.33,8.16,22.54,6.69,17.950000000000003,6.02,24.733,8.3,0.0,0.0,0.0,0.0,0.0
135,"Burrows, Beau",R,FF,154.0,0.0,0.0,93.1,6.84,18.26,26.5,5.54,7.670000000000001,4.98,11.474,7.449999999999999,0.0,0.0,0.0,0.0,0.0
136,"Bush, Matt",R,FF,37.0,0.0,0.0,95.1,6.86,19.16,28.5,6.06,3.505,9.47,1.311,3.5399999999999996,0.0,0.0,0.0,0.0,0.0
137,"Báez, Pedro",R,FF,18.0,0.0,0.0,90.4,5.22,16.95,6.3,5.95,2.325,12.92,1.7930000000000001,9.96,0.0,0.0,0.0,0.0,0.0
138,"Cabrera, Edward",R,FF,186.0,0.0,0.0,96.7,10.35,15.69,32.0,6.53,12.017999999999999,6.46,8.011000000000001,4.31,0.0,0.0,0.0,0.0,0.0
139,"Cahill, Trevor",R,FC,0.0,0.0,123.0,88.2,10.61,8.36,36.62,6.2,3.156,2.57,8.12,6.6,0.0,0.0,0.0,0.0,0.0
140,"Cahill, Trevor",R,FF,41.0,0.0,0.0,88.2,10.61,8.36,36.62,6.2,-1.61,-3.93,0.534,1.3,0.0,0.0,0.0,0.0,0.0
141,"Cahill, Trevor",R,SI,0.0,198.0,0.0,88.2,10.61,8.36,36.62,6.2,13.875,7.01,18.995,9.59,0.0,0.0,0.0,0.0,0.0
142,"Campbell, Paul",R,FF,210.0,0.0,0.0,92.7,5.33,17.6,34.08,5.74,17.254,8.22,16.839,8.02,0.0,0.0,0.0,0.0,0.0
143,"Campbell, Paul",R,SI,0.0,5.0,0.0,92.7,5.33,17.6,34.08,5.74,-0.24300000000000002,-4.86,-0.005000000000000005,-0.1,0.0,0.0,0.0,0.0,0.0
144,"Canning, Griffin",R,FF,437.0,0.0,0.0,93.5,9.26,18.9,27.7,5.96,24.57,5.62,18.039,4.13,0.0,0.0,0.0,0.0,0.0
145,"Carlton, Drew",R,SI,0.0,42.0,0.0,89.6,13.69,11.69,36.0,5.79,5.867,13.97,5.787,13.78,0.0,0.0,0.0,0.0,0.0
146,"Carrasco, Carlos",R,FF,353.0,0.0,0.0,93.2,8.9,13.19,24.45,6.46,20.847999999999995,5.910000000000001,15.929,4.51,0.0,0.0,0.0,0.0,0.0
147,"Carrasco, Carlos",R,SI,0.0,95.0,0.0,93.2,8.9,13.19,24.45,6.46,9.509,10.01,7.622,8.02,0.0,0.0,0.0,0.0,0.0
148,"Castellani, Ryan",R,FF,11.0,0.0,0.0,89.1,12.67,8.01,34.7,6.57,3.3710000000000004,30.65,2.922,26.56,0.0,0.0,0.0,0.0,0.0
149,"Castellani, Ryan",R,SI,0.0,18.0,0.0,89.1,12.67,8.01,34.7,6.57,1.705,9.47,1.842,10.23,0.0,0.0,0.0,0.0,0.0
150,"Castellanos, Humberto",R,FF,150.0,0.0,0.0,90.4,11.96,6.82,40.24,6.09,5.304,3.54,6.864000000000001,4.58,0.0,0.0,0.0,0.0,0.0
